"date","month","year","zoneid","tnc","subway","taxi","holidays","precip","median.age","median.earnings","scaled.population","scaled.employment","zone.name","borough"
"2015-05-07",5,2015,"ID100",13,219,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-08",5,2015,"ID100",11,221,73,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-09",5,2015,"ID100",5,130,67,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-10",5,2015,"ID100",5,98,65,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-11",5,2015,"ID100",9,206,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-12",5,2015,"ID100",11,215,76,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-13",5,2015,"ID100",12,219,70,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-14",5,2015,"ID100",12,223,71,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-15",5,2015,"ID100",10,220,68,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-16",5,2015,"ID100",7,129,63,0,0.33,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-17",5,2015,"ID100",6,103,63,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-18",5,2015,"ID100",10,209,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-19",5,2015,"ID100",12,221,81,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-20",5,2015,"ID100",13,228,73,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-21",5,2015,"ID100",14,226,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-22",5,2015,"ID100",8,214,71,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-23",5,2015,"ID100",5,121,66,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-24",5,2015,"ID100",5,99,61,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-25",5,2015,"ID100",5,110,62,1,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-26",5,2015,"ID100",10,211,78,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-27",5,2015,"ID100",13,220,74,0,0.03,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-28",5,2015,"ID100",14,216,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-29",5,2015,"ID100",12,220,73,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-30",5,2015,"ID100",6,130,67,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-05-31",5,2015,"ID100",7,109,49,0,0.92,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-01",6,2015,"ID100",15,206,75,0,0.76,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-02",6,2015,"ID100",16,219,75,0,0.35,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-03",6,2015,"ID100",14,225,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-04",6,2015,"ID100",14,231,76,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-05",6,2015,"ID100",11,222,74,0,0.04,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-06",6,2015,"ID100",7,127,71,0,0.31,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-07",6,2015,"ID100",7,109,64,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-08",6,2015,"ID100",10,206,74,0,0.04,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-09",6,2015,"ID100",12,218,76,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-10",6,2015,"ID100",13,223,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-11",6,2015,"ID100",15,222,76,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-12",6,2015,"ID100",13,208,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-13",6,2015,"ID100",6,138,65,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-14",6,2015,"ID100",6,107,62,0,0.31,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-15",6,2015,"ID100",12,214,74,0,0.74,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-16",6,2015,"ID100",14,219,75,0,0.23,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-17",6,2015,"ID100",14,228,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-18",6,2015,"ID100",15,227,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-19",6,2015,"ID100",12,216,76,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-20",6,2015,"ID100",7,133,67,0,0.11,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-21",6,2015,"ID100",7,102,65,0,0.56,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-22",6,2015,"ID100",10,217,79,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-23",6,2015,"ID100",15,224,79,0,0.04,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-24",6,2015,"ID100",14,223,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-25",6,2015,"ID100",14,220,74,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-26",6,2015,"ID100",11,217,75,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-27",6,2015,"ID100",8,127,70,0,1.07,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-28",6,2015,"ID100",7,115,58,0,0.28,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-29",6,2015,"ID100",10,209,77,0,0,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
"2015-06-30",6,2015,"ID100",11,219,74,0,0.01,31.75,86659.5,1.2734693877551,0.828571428571429,"Garment District","Manhattan"
