"year","month","zoneid","zone.name","borough","tnc.month"
2016,4,"ID107","Gramercy","Manhattan",93
2016,5,"ID107","Gramercy","Manhattan",96
2016,6,"ID107","Gramercy","Manhattan",98
2016,7,"ID107","Gramercy","Manhattan",108
2016,8,"ID107","Gramercy","Manhattan",109
2016,9,"ID107","Gramercy","Manhattan",117
2016,10,"ID107","Gramercy","Manhattan",124
2016,11,"ID107","Gramercy","Manhattan",115
2016,12,"ID107","Gramercy","Manhattan",131
2017,1,"ID107","Gramercy","Manhattan",129
2017,2,"ID107","Gramercy","Manhattan",125
2017,3,"ID107","Gramercy","Manhattan",140
2017,4,"ID107","Gramercy","Manhattan",128
2017,5,"ID107","Gramercy","Manhattan",135
2017,6,"ID107","Gramercy","Manhattan",146
2015,1,"ID108","Gravesend","Brooklyn",0
2015,2,"ID108","Gravesend","Brooklyn",0
2015,3,"ID108","Gravesend","Brooklyn",1
2015,4,"ID108","Gravesend","Brooklyn",1
2015,5,"ID108","Gravesend","Brooklyn",1
2015,6,"ID108","Gravesend","Brooklyn",1
2015,7,"ID108","Gravesend","Brooklyn",1
2015,8,"ID108","Gravesend","Brooklyn",1
2015,9,"ID108","Gravesend","Brooklyn",1
2015,10,"ID108","Gravesend","Brooklyn",2
2015,11,"ID108","Gravesend","Brooklyn",2
2015,12,"ID108","Gravesend","Brooklyn",2
2016,1,"ID108","Gravesend","Brooklyn",3
2016,2,"ID108","Gravesend","Brooklyn",3
2016,3,"ID108","Gravesend","Brooklyn",3
2016,4,"ID108","Gravesend","Brooklyn",4
2016,5,"ID108","Gravesend","Brooklyn",4
2016,6,"ID108","Gravesend","Brooklyn",4
2016,7,"ID108","Gravesend","Brooklyn",5
2016,8,"ID108","Gravesend","Brooklyn",5
2016,9,"ID108","Gravesend","Brooklyn",5
2016,10,"ID108","Gravesend","Brooklyn",5
2016,11,"ID108","Gravesend","Brooklyn",6
2016,12,"ID108","Gravesend","Brooklyn",8
2017,1,"ID108","Gravesend","Brooklyn",9
2017,2,"ID108","Gravesend","Brooklyn",9
2017,3,"ID108","Gravesend","Brooklyn",12
2017,4,"ID108","Gravesend","Brooklyn",12
2017,5,"ID108","Gravesend","Brooklyn",13
2017,6,"ID108","Gravesend","Brooklyn",14
2015,1,"ID109","Great Kills","Staten Island",0
2015,2,"ID109","Great Kills","Staten Island",0
2015,3,"ID109","Great Kills","Staten Island",0
2015,4,"ID109","Great Kills","Staten Island",0
2015,5,"ID109","Great Kills","Staten Island",0
2015,6,"ID109","Great Kills","Staten Island",0
2015,7,"ID109","Great Kills","Staten Island",0
2015,8,"ID109","Great Kills","Staten Island",0
2015,9,"ID109","Great Kills","Staten Island",0
2015,10,"ID109","Great Kills","Staten Island",0
2015,11,"ID109","Great Kills","Staten Island",0
2015,12,"ID109","Great Kills","Staten Island",0
2016,1,"ID109","Great Kills","Staten Island",0
2016,2,"ID109","Great Kills","Staten Island",0
2016,3,"ID109","Great Kills","Staten Island",1
2016,4,"ID109","Great Kills","Staten Island",1
2016,5,"ID109","Great Kills","Staten Island",1
2016,6,"ID109","Great Kills","Staten Island",1
2016,7,"ID109","Great Kills","Staten Island",1
2016,8,"ID109","Great Kills","Staten Island",1
2016,9,"ID109","Great Kills","Staten Island",1
2016,10,"ID109","Great Kills","Staten Island",1
2016,11,"ID109","Great Kills","Staten Island",2
2016,12,"ID109","Great Kills","Staten Island",2
2017,1,"ID109","Great Kills","Staten Island",2
2017,2,"ID109","Great Kills","Staten Island",2
2017,3,"ID109","Great Kills","Staten Island",3
2017,4,"ID109","Great Kills","Staten Island",3
2017,5,"ID109","Great Kills","Staten Island",4
2017,6,"ID109","Great Kills","Staten Island",4
2015,1,"ID11","Bath Beach","Brooklyn",0
2015,2,"ID11","Bath Beach","Brooklyn",1
2015,3,"ID11","Bath Beach","Brooklyn",1
2015,4,"ID11","Bath Beach","Brooklyn",1
2015,5,"ID11","Bath Beach","Brooklyn",1
2015,6,"ID11","Bath Beach","Brooklyn",1
